Code,Name,Panel,
cd6,T cell surface glycoprotein CD6 isoform (CD6),Inflammation,
cd63,CD63 antigen (CD63),Neurology,
cd69,Early activation antigen CD69 (CD69),Cardiometabolic,
cd70,CD70 antigen (CD70),Inflammation,
cd74,HLA class II histocompatibility antigen gamma chain (CD74),Neurology,
cd79b,B-cell antigen receptor complex-associated protein beta chain (CD79B),Inflammation,
cd83,CD83 antigen (CD83),Inflammation,
cd84,SLAM family member 5 (CD84),Inflammation,
cd8a,T-cell surface glycoprotein CD8 alpha chain (CD8A),Neurology,
cd93,Complement component C1q receptor (CD93),Cardiometabolic,
cd99,CD99 antigen ,Neurology,
cd99l2,CD99 antigen-like protein 2 (CD99L2),Neurology,
cdc27,Cell division cycle protein 27 homolog (CDC27),Oncology,
cdc37,Hsp90 co-chaperone Cdc37 ,Oncology,
cdcp1,CUB domain-containing protein 1 (CDCP1),Neurology,
cdh1,Cadherin-1 (CDH1),Cardiometabolic,
cdh15,Cadherin-15 (CDH15),Neurology,
cdh17,Cadherin-17 (CDH17),Cardiometabolic,
cdh2,Cadherin-2 (CDH2),Cardiometabolic,
cdh3,Cadherin-3 (CDH3),Neurology,
cdh5,Cadherin-5 (CDH5),Cardiometabolic,
cdh6,Cadherin-6 (CDH6),Cardiometabolic,
cdhr1,Cadherin-related family member 1 ,Neurology,
cdhr2,Cadherin-related family member 2 (CDHR2),Oncology,
cdhr5,Cadherin-related family member 5 (CDHR5),Cardiometabolic,
cdkn1a,Cyclin-dependent kinase inhibitor 1 (CDKN1A),Oncology,
cdkn2d,Cyclin-dependent kinase 4 inhibitor D ,Oncology,
cdnf,Cerebral dopamine NEUtrophic factor (CDNF),Oncology,
cdon,Cell adhesion molecule-related/down-regulated by oncogenes (CDON),Inflammation,
cdsn,Corneodesmosin (CDSN),Inflammation,
ceacam1,Carcinoembryonic antigen-related cell adhesion molecule 1 (CEACAM1),Oncology,
ceacam21,Carcinoembryonic antigen-related cell adhesion molecule 21,Inflammation,
ceacam3,Carcinoembryonic antigen-related cell adhesion molecule 3 (CEACAM3),Oncology,
ceacam5,Carcinoembryonic antigen (CEA),Oncology,
ceacam8,Carcinoembryonic antigenrelated cell adhesion molecule 8 (CEACAM8),Cardiometabolic,
cebpb,CCAAT/enhancer-binding protein beta ,Cardiometabolic,
cela3a,Chymotrypsin-like elastase family member 3A ,Cardiometabolic,
cep164,Centrosomal protein of 164 kDa ,Inflammation,
cep20,LisH domain-containing protein FOPNL ,Oncology,
cep43,FGFR1 oncogene partner,Cardiometabolic,
cep85,Centrosomal protein of 85 kDa ,Oncology,
cert,Collagen type IV alpha-3-binding protein (COL4A3BP),Neurology,
ces1,Liver carboxylesterase 1 (CES1),Cardiometabolic,
ces2,Cocaine esterase (CES2),Oncology,
ces3,Carboxylesterase 3 ,Oncology,
cetn2,Centrin-2 (CETN2),Neurology,
cfc1,Cryptic protein (CFC1),Oncology,
cga,Glycoprotein hormones alpha chain (CGA),Neurology,
cgref1,Cell growth regulator with EF hand domain protein 1 ,Cardiometabolic,
chac2,Glutathione-specific gamma-glutamylcyclotransferase 2 ,Oncology,
chek2,Serine/threonine-protein kinase Chk2 ,Cardiometabolic,
chgb,Secretogranin-1 ,Neurology,
chi3l1,Chitinase-3-like protein 1 (CHI3L1) ,Cardiometabolic,
chit1,Chitotriosidase-1 (CHIT1),Cardiometabolic,
chl1,Neural cell adhesion molecule L1-like protein (CHL1),Cardiometabolic,
chmp1a,Charged multivesicular body protein 1a ,Neurology,
chrdl1,Chordin-like protein 1 ,Inflammation,
chrdl2,Chordin-like protein 2 (CHRDL2),Cardiometabolic,
ciapin1,Anamorsin ,Oncology,
ckap4,Cytoskeleton-associated protein 4 (CKAP4),Inflammation,
ckmt1a_ckmt1b,"Creatine kinase U-type, mitochondrial ",Inflammation,
clc,Galectin-10 ,Cardiometabolic,
clec10a,C-type lectin domain family 10 member A (CLEC10A),Neurology,
clec11a,C-type lectin domain family 11 member A (CLEC11A),Neurology,
clec14a,C-type lectin domain family 14 member A (CLEC14A),Neurology,
clec1a,C-type lectin domain family 1 member A (CLEC1A),Cardiometabolic,
clec1b,C-type lectin domain family 1 member B (CLEC1B),Neurology,
clec4a,C-type lectin domain family 4 member A (CLEC4A),Inflammation,
clec4c,C-type lectin domain family 4 member C (CLEC4C),Inflammation,
clec4d,C-type lectin domain family 4 member D (CLEC4D),Inflammation,
clec4g,C-type lectin domain family 4 member G (CLEC4G),Inflammation,
clec5a,C-type lectin domain family 5 member A (CLEC5A),Cardiometabolic,
clec6a,C-type lectin domain family 6 member A (CLEC6A),Oncology,
